corruption_id,table,record_id,field,original_value,corrupted_value,expected_rule_id,description
CORR-051,education_assessments,EDU-000025,standardised_score_demo,-0.1132,<missing>,EDU002,Observed assessment has missing score
CORR-052,education_assessments,EDU-000067,standardised_score_demo,,0.25,EDU003,Missing assessment has populated score
CORR-053,education_assessments,EDU-000070,standardised_score_demo,,0.25,EDU003,Missing assessment has populated score
CORR-054,education_assessments,EDU-000071,standardised_score_demo,,0.25,EDU003,Missing assessment has populated score
CORR-055,education_assessments,EDU-000031,standardised_score_demo,0.7585,8.0,EDU004,Score outside plausible synthetic range
CORR-056,education_assessments,EDU-000032,standardised_score_demo,0.5408,8.0,EDU004,Score outside plausible synthetic range
CORR-057,education_assessments,EDU-000033,standardised_score_demo,-1.3378,8.0,EDU004,Score outside plausible synthetic range
CORR-058,offspring_outcomes,OUT-000001,event_date_demo,,2007-12-10,OUT001,Outcome event before birth
CORR-059,offspring_outcomes,OUT-000002,event_date_demo,,2007-12-10,OUT001,Outcome event before birth
CORR-060,offspring_outcomes,OUT-000003,event_date_demo,,2009-07-21,OUT001,Outcome event before birth
CORR-061,offspring_outcomes,OUT-000012,event_date_demo,2022-03-04,<missing>,OUT002,Observed outcome has missing event date
CORR-062,offspring_outcomes,OUT-000026,event_date_demo,2022-05-14,<missing>,OUT002,Observed outcome has missing event date
CORR-063,offspring_outcomes,OUT-000046,event_date_demo,2017-04-06,<missing>,OUT002,Observed outcome has missing event date
