parent_id,family_id,parent_role,birth_year_demo,baseline_age_at_first_child_demo,country_context_demo,parent_record_created_at_demo
P-000040,FAM-000040,father,1984,18,CONTEXT_B,2026-07-15
M-000040,FAM-000040,mother,1982,20,CONTEXT_A,2026-07-15
P-000041,FAM-000041,father,1964,40,CONTEXT_A,2026-07-15
M-000041,FAM-000041,mother,1972,32,CONTEXT_A,2026-07-15
P-000042,FAM-000042,father,1982,22,CONTEXT_A,2026-07-15
M-000042,FAM-000042,mother,1980,24,CONTEXT_B,2026-07-15
P-000043,FAM-000043,father,1978,21,CONTEXT_A,2026-07-15
M-000043,FAM-000043,mother,1981,18,CONTEXT_A,2026-07-15
P-000044,FAM-000044,father,1979,25,CONTEXT_A,2026-07-15
M-000044,FAM-000044,mother,1978,26,CONTEXT_B,2026-07-15
P-000045,FAM-000045,father,1970,35,CONTEXT_A,2026-07-15
M-000045,FAM-000045,mother,1975,30,CONTEXT_B,2026-07-15
P-000046,FAM-000046,father,1975,29,CONTEXT_A,2026-07-15
M-000046,FAM-000046,mother,1975,29,CONTEXT_A,2026-07-15
P-000047,FAM-000047,father,1962,39,CONTEXT_A,2026-07-15
M-000047,FAM-000047,mother,1966,35,CONTEXT_C,2026-07-15
P-000048,FAM-000048,father,1964,39,CONTEXT_B,2026-07-15
M-000048,FAM-000048,mother,1970,33,CONTEXT_C,2026-07-15
P-000049,FAM-000049,father,1972,32,CONTEXT_C,2026-07-15
M-000049,FAM-000049,mother,1974,30,CONTEXT_A,2026-07-15
P-000050,FAM-000050,father,1970,34,CONTEXT_C,2026-07-15
M-000050,FAM-000050,mother,1970,34,CONTEXT_B,2026-07-15
P-000051,FAM-000051,father,1980,26,CONTEXT_C,2026-07-15
M-000051,FAM-000051,mother,1979,27,CONTEXT_A,2026-07-15
P-000052,FAM-000052,father,1975,30,CONTEXT_B,2026-07-15
M-000052,FAM-000052,mother,1975,30,CONTEXT_A,2026-07-15
P-000053,FAM-000053,father,1970,33,CONTEXT_B,2026-07-15
M-000053,FAM-000053,mother,1974,29,CONTEXT_C,2026-07-15
P-000054,FAM-000054,father,1969,29,CONTEXT_A,2026-07-15
M-000054,FAM-000054,mother,1975,23,CONTEXT_A,2026-07-15
P-000055,FAM-000055,father,1964,37,CONTEXT_B,2026-07-15
M-000055,FAM-000055,mother,1972,29,CONTEXT_B,2026-07-15
P-000056,FAM-000056,father,1975,30,CONTEXT_B,2026-07-15
M-000056,FAM-000056,mother,1977,28,CONTEXT_A,2026-07-15
P-000057,FAM-000057,father,1967,34,CONTEXT_A,2026-07-15
M-000057,FAM-000057,mother,1962,39,CONTEXT_C,2026-07-15
P-000058,FAM-000058,father,1974,33,CONTEXT_B,2026-07-15
M-000058,FAM-000058,mother,1977,30,CONTEXT_C,2026-07-15
P-000059,FAM-000059,father,1967,31,CONTEXT_A,2026-07-15
M-000059,FAM-000059,mother,1970,28,CONTEXT_B,2026-07-15
P-000060,FAM-000060,father,1967,32,CONTEXT_B,2026-07-15
M-000060,FAM-000060,mother,1974,25,CONTEXT_B,2026-07-15
P-000061,FAM-000061,father,1962,36,CONTEXT_B,2026-07-15
M-000061,FAM-000061,mother,1965,33,CONTEXT_A,2026-07-15
P-000062,FAM-000062,father,1965,40,CONTEXT_A,2026-07-15
M-000062,FAM-000062,mother,1969,36,CONTEXT_C,2026-07-15
P-000063,FAM-000063,father,1983,22,CONTEXT_B,2026-07-15
M-000063,FAM-000063,mother,1987,18,CONTEXT_A,2026-07-15
P-000064,FAM-000064,father,1969,37,CONTEXT_A,2026-07-15
M-000064,FAM-000064,mother,1969,37,CONTEXT_A,2026-07-15
P-000065,FAM-000065,father,1967,33,CONTEXT_A,2026-07-15
M-000065,FAM-000065,mother,1970,30,CONTEXT_A,2026-07-15
P-000066,FAM-000066,father,1973,32,CONTEXT_A,2026-07-15
M-000066,FAM-000066,mother,1978,27,CONTEXT_A,2026-07-15
P-000067,FAM-000067,father,1976,26,CONTEXT_A,2026-07-15
M-000067,FAM-000067,mother,1978,24,CONTEXT_A,2026-07-15
P-000068,FAM-000068,father,1975,24,CONTEXT_A,2026-07-15
M-000068,FAM-000068,mother,1974,25,CONTEXT_B,2026-07-15
P-000069,FAM-000069,father,1970,36,CONTEXT_A,2026-07-15
M-000069,FAM-000069,mother,1974,32,CONTEXT_C,2026-07-15
P-000070,FAM-000070,father,1976,32,CONTEXT_A,2026-07-15
M-000070,FAM-000070,mother,1976,32,CONTEXT_A,2026-07-15
P-000071,FAM-000071,father,1977,29,CONTEXT_C,2026-07-15
M-000071,FAM-000071,mother,1978,28,CONTEXT_A,2026-07-15
P-000072,FAM-000072,father,1973,30,CONTEXT_A,2026-07-15
M-000072,FAM-000072,mother,1976,27,CONTEXT_A,2026-07-15
P-000073,FAM-000073,father,1968,32,CONTEXT_A,2026-07-15
M-000073,FAM-000073,mother,1970,30,CONTEXT_A,2026-07-15
P-000074,FAM-000074,father,1979,28,CONTEXT_A,2026-07-15
M-000074,FAM-000074,mother,1980,27,CONTEXT_B,2026-07-15
P-000075,FAM-000075,father,1971,34,CONTEXT_A,2026-07-15
M-000075,FAM-000075,mother,1972,33,CONTEXT_A,2026-07-15
P-000076,FAM-000076,father,1963,38,CONTEXT_A,2026-07-15
M-000076,FAM-000076,mother,1965,36,CONTEXT_A,2026-07-15
P-000077,FAM-000077,father,1975,30,CONTEXT_B,2026-07-15
M-000077,FAM-000077,mother,1975,30,CONTEXT_A,2026-07-15
P-000078,FAM-000078,father,1981,26,CONTEXT_A,2026-07-15
M-000078,FAM-000078,mother,1984,23,CONTEXT_A,2026-07-15
P-000079,FAM-000079,father,1970,35,CONTEXT_A,2026-07-15
M-000079,FAM-000079,mother,1972,33,CONTEXT_A,2026-07-15
P-000080,FAM-000080,father,1963,35,CONTEXT_B,2026-07-15
M-000080,FAM-000080,mother,1968,30,CONTEXT_A,2026-07-15
P-000081,FAM-000081,father,1981,23,CONTEXT_B,2026-07-15
M-000081,FAM-000081,mother,1977,27,CONTEXT_C,2026-07-15
P-000082,FAM-000082,father,1966,32,CONTEXT_A,2026-07-15
M-000082,FAM-000082,mother,1968,30,CONTEXT_A,2026-07-15
P-000083,FAM-000083,father,1970,35,CONTEXT_A,2026-07-15
M-000083,FAM-000083,mother,1971,34,CONTEXT_B,2026-07-15
P-000084,FAM-000084,father,1974,24,CONTEXT_A,2026-07-15
M-000084,FAM-000084,mother,1974,24,CONTEXT_C,2026-07-15
P-000085,FAM-000085,father,1975,31,CONTEXT_B,2026-07-15
M-000085,FAM-000085,mother,1976,30,CONTEXT_A,2026-07-15
P-000086,FAM-000086,father,1973,32,CONTEXT_B,2026-07-15
M-000086,FAM-000086,mother,1975,30,CONTEXT_A,2026-07-15
P-000087,FAM-000087,father,1969,39,CONTEXT_C,2026-07-15
M-000087,FAM-000087,mother,1971,37,CONTEXT_A,2026-07-15
P-000088,FAM-000088,father,1976,28,CONTEXT_C,2026-07-15
M-000088,FAM-000088,mother,1975,29,CONTEXT_A,2026-07-15
P-000089,FAM-000089,father,1977,28,CONTEXT_A,2026-07-15
M-000089,FAM-000089,mother,1980,25,CONTEXT_B,2026-07-15
P-000090,FAM-000090,father,1977,30,CONTEXT_B,2026-07-15
M-000090,FAM-000090,mother,1976,31,CONTEXT_A,2026-07-15
P-000091,FAM-000091,father,1969,29,CONTEXT_B,2026-07-15
M-000091,FAM-000091,mother,1971,27,CONTEXT_C,2026-07-15
P-000092,FAM-000092,father,1978,24,CONTEXT_A,2026-07-15
M-000092,FAM-000092,mother,1975,27,CONTEXT_B,2026-07-15
P-000093,FAM-000093,father,1973,26,CONTEXT_B,2026-07-15
M-000093,FAM-000093,mother,1972,27,CONTEXT_A,2026-07-15
P-000094,FAM-000094,father,1972,33,CONTEXT_A,2026-07-15
M-000094,FAM-000094,mother,1977,28,CONTEXT_A,2026-07-15
P-000095,FAM-000095,father,1971,28,CONTEXT_B,2026-07-15
M-000095,FAM-000095,mother,1970,29,CONTEXT_A,2026-07-15
P-000096,FAM-000096,father,1957,48,CONTEXT_A,2026-07-15
M-000096,FAM-000096,mother,1967,38,CONTEXT_C,2026-07-15
P-000097,FAM-000097,father,1973,31,CONTEXT_A,2026-07-15
M-000097,FAM-000097,mother,1972,32,CONTEXT_A,2026-07-15
P-000098,FAM-000098,father,1965,34,CONTEXT_A,2026-07-15
M-000098,FAM-000098,mother,1967,32,CONTEXT_C,2026-07-15
P-000099,FAM-000099,father,1983,20,CONTEXT_B,2026-07-15
M-000099,FAM-000099,mother,1975,28,CONTEXT_C,2026-07-15
P-000100,FAM-000100,father,1983,24,CONTEXT_A,2026-07-15
M-000100,FAM-000100,mother,1989,18,CONTEXT_A,2026-07-15
P-000101,FAM-000101,father,1985,18,CONTEXT_B,2026-07-15
M-000101,FAM-000101,mother,1984,19,CONTEXT_B,2026-07-15
P-000102,FAM-000102,father,1972,34,CONTEXT_C,2026-07-15
M-000102,FAM-000102,mother,1978,28,CONTEXT_A,2026-07-15
P-000103,FAM-000103,father,1966,40,CONTEXT_A,2026-07-15
M-000103,FAM-000103,mother,1971,35,CONTEXT_B,2026-07-15
P-000104,FAM-000104,father,1959,40,CONTEXT_C,2026-07-15
M-000104,FAM-000104,mother,1966,33,CONTEXT_B,2026-07-15
P-000105,FAM-000105,father,1984,22,CONTEXT_A,2026-07-15
M-000105,FAM-000105,mother,1984,22,CONTEXT_B,2026-07-15
P-000106,FAM-000106,father,1972,32,CONTEXT_A,2026-07-15
M-000106,FAM-000106,mother,1970,34,CONTEXT_A,2026-07-15
P-000107,FAM-000107,father,1966,31,CONTEXT_B,2026-07-15
M-000107,FAM-000107,mother,1967,30,CONTEXT_C,2026-07-15
P-000108,FAM-000108,father,1964,36,CONTEXT_A,2026-07-15
M-000108,FAM-000108,mother,1964,36,CONTEXT_A,2026-07-15
P-000109,FAM-000109,father,1971,33,CONTEXT_A,2026-07-15
M-000109,FAM-000109,mother,1969,35,CONTEXT_B,2026-07-15
P-000110,FAM-000110,father,1975,30,CONTEXT_C,2026-07-15
M-000110,FAM-000110,mother,1979,26,CONTEXT_A,2026-07-15
P-000111,FAM-000111,father,1975,33,CONTEXT_B,2026-07-15
M-000111,FAM-000111,mother,1976,32,CONTEXT_A,2026-07-15
P-000112,FAM-000112,father,1964,41,CONTEXT_A,2026-07-15
M-000112,FAM-000112,mother,1968,37,CONTEXT_A,2026-07-15
P-000113,FAM-000113,father,1969,34,CONTEXT_B,2026-07-15
M-000113,FAM-000113,mother,1971,32,CONTEXT_C,2026-07-15
P-000114,FAM-000114,father,1962,37,CONTEXT_C,2026-07-15
M-000114,FAM-000114,mother,1968,31,CONTEXT_A,2026-07-15
P-000115,FAM-000115,father,1964,35,CONTEXT_B,2026-07-15
M-000115,FAM-000115,mother,1965,34,CONTEXT_A,2026-07-15
P-000116,FAM-000116,father,1954,44,CONTEXT_A,2026-07-15
M-000116,FAM-000116,mother,1960,38,CONTEXT_A,2026-07-15
P-000117,FAM-000117,father,1967,31,CONTEXT_B,2026-07-15
M-000117,FAM-000117,mother,1974,24,CONTEXT_A,2026-07-15
P-000118,FAM-000118,father,1976,30,CONTEXT_B,2026-07-15
M-000118,FAM-000118,mother,1980,26,CONTEXT_B,2026-07-15
P-000119,FAM-000119,father,1971,37,CONTEXT_A,2026-07-15
M-000119,FAM-000119,mother,1981,27,CONTEXT_A,2026-07-15
P-000120,FAM-000120,father,1964,35,CONTEXT_A,2026-07-15
M-000120,FAM-000120,mother,1966,33,CONTEXT_A,2026-07-15
P-000121,FAM-000121,father,1965,34,CONTEXT_A,2026-07-15
M-000121,FAM-000121,mother,1970,29,CONTEXT_C,2026-07-15
P-000122,FAM-000122,father,1969,35,CONTEXT_B,2026-07-15
M-000122,FAM-000122,mother,1979,25,CONTEXT_A,2026-07-15
P-000123,FAM-000123,father,1980,27,CONTEXT_C,2026-07-15
M-000123,FAM-000123,mother,1980,27,CONTEXT_C,2026-07-15
P-000124,FAM-000124,father,1969,30,CONTEXT_C,2026-07-15
M-000124,FAM-000124,mother,1970,29,CONTEXT_B,2026-07-15
P-000125,FAM-000125,father,1977,29,CONTEXT_B,2026-07-15
M-000125,FAM-000125,mother,1975,31,CONTEXT_A,2026-07-15
P-000126,FAM-000126,father,1968,32,CONTEXT_A,2026-07-15
M-000126,FAM-000126,mother,1966,34,CONTEXT_B,2026-07-15
P-000127,FAM-000127,father,1965,35,CONTEXT_A,2026-07-15
M-000127,FAM-000127,mother,1964,36,CONTEXT_A,2026-07-15
P-000128,FAM-000128,father,1965,33,CONTEXT_B,2026-07-15
M-000128,FAM-000128,mother,1970,28,CONTEXT_B,2026-07-15
P-000129,FAM-000129,father,1964,35,CONTEXT_A,2026-07-15
M-000129,FAM-000129,mother,1965,34,CONTEXT_A,2026-07-15
P-000130,FAM-000130,father,1960,39,CONTEXT_A,2026-07-15
M-000130,FAM-000130,mother,1968,31,CONTEXT_A,2026-07-15
P-000131,FAM-000131,father,1964,38,CONTEXT_A,2026-07-15
M-000131,FAM-000131,mother,1969,33,CONTEXT_B,2026-07-15
P-000132,FAM-000132,father,1969,29,CONTEXT_A,2026-07-15
M-000132,FAM-000132,mother,1969,29,CONTEXT_A,2026-07-15
P-000133,FAM-000133,father,1958,45,CONTEXT_B,2026-07-15
M-000133,FAM-000133,mother,1962,41,CONTEXT_A,2026-07-15
P-000134,FAM-000134,father,1968,35,CONTEXT_B,2026-07-15
M-000134,FAM-000134,mother,1965,38,CONTEXT_A,2026-07-15
P-000135,FAM-000135,father,1979,27,CONTEXT_B,2026-07-15
M-000135,FAM-000135,mother,1976,30,CONTEXT_A,2026-07-15
P-000136,FAM-000136,father,1965,36,CONTEXT_B,2026-07-15
M-000136,FAM-000136,mother,1966,35,CONTEXT_A,2026-07-15
P-000137,FAM-000137,father,1966,34,CONTEXT_B,2026-07-15
M-000137,FAM-000137,mother,1969,31,CONTEXT_C,2026-07-15
P-000138,FAM-000138,father,1972,35,CONTEXT_C,2026-07-15
M-000138,FAM-000138,mother,1978,29,CONTEXT_A,2026-07-15
P-000139,FAM-000139,father,1955,47,CONTEXT_A,2026-07-15
M-000139,FAM-000139,mother,1963,39,CONTEXT_C,2026-07-15
P-000140,FAM-000140,father,1961,38,CONTEXT_A,2026-07-15
M-000140,FAM-000140,mother,1966,33,CONTEXT_A,2026-07-15
P-000141,FAM-000141,father,1972,34,CONTEXT_A,2026-07-15
M-000141,FAM-000141,mother,1972,34,CONTEXT_A,2026-07-15
P-000142,FAM-000142,father,1975,25,CONTEXT_A,2026-07-15
M-000142,FAM-000142,mother,1968,32,CONTEXT_A,2026-07-15
P-000143,FAM-000143,father,1968,33,CONTEXT_B,2026-07-15
M-000143,FAM-000143,mother,1971,30,CONTEXT_B,2026-07-15
P-000144,FAM-000144,father,1977,30,CONTEXT_A,2026-07-15
M-000144,FAM-000144,mother,1977,30,CONTEXT_A,2026-07-15
P-000145,FAM-000145,father,1960,42,CONTEXT_A,2026-07-15
M-000145,FAM-000145,mother,1963,39,CONTEXT_B,2026-07-15
P-000146,FAM-000146,father,1967,32,CONTEXT_A,2026-07-15
M-000146,FAM-000146,mother,1971,28,CONTEXT_A,2026-07-15
P-000147,FAM-000147,father,1984,24,CONTEXT_A,2026-07-15
M-000147,FAM-000147,mother,1985,23,CONTEXT_A,2026-07-15
P-000148,FAM-000148,father,1978,23,CONTEXT_B,2026-07-15
M-000148,FAM-000148,mother,1974,27,CONTEXT_A,2026-07-15
P-000149,FAM-000149,father,1962,36,CONTEXT_A,2026-07-15
M-000149,FAM-000149,mother,1972,26,CONTEXT_B,2026-07-15
P-000150,FAM-000150,father,1975,30,CONTEXT_A,2026-07-15
M-000150,FAM-000150,mother,1974,31,CONTEXT_A,2026-07-15
P-000151,FAM-000151,father,1965,38,CONTEXT_A,2026-07-15
M-000151,FAM-000151,mother,1971,32,CONTEXT_A,2026-07-15
P-000152,FAM-000152,father,1972,31,CONTEXT_A,2026-07-15
M-000152,FAM-000152,mother,1973,30,CONTEXT_B,2026-07-15
P-000153,FAM-000153,father,1974,29,CONTEXT_A,2026-07-15
M-000153,FAM-000153,mother,1978,25,CONTEXT_A,2026-07-15
P-000154,FAM-000154,father,1971,37,CONTEXT_A,2026-07-15
M-000154,FAM-000154,mother,1973,35,CONTEXT_A,2026-07-15
P-000155,FAM-000155,father,1970,29,CONTEXT_A,2026-07-15
M-000155,FAM-000155,mother,1966,33,CONTEXT_A,2026-07-15
P-000156,FAM-000156,father,1975,25,CONTEXT_C,2026-07-15
M-000156,FAM-000156,mother,1973,27,CONTEXT_A,2026-07-15
P-000157,FAM-000157,father,1978,29,CONTEXT_A,2026-07-15
M-000157,FAM-000157,mother,1977,30,CONTEXT_A,2026-07-15
P-000158,FAM-000158,father,1970,33,CONTEXT_A,2026-07-15
M-000158,FAM-000158,mother,1974,29,CONTEXT_C,2026-07-15
P-000159,FAM-000159,father,1985,20,CONTEXT_A,2026-07-15
M-000159,FAM-000159,mother,1984,21,CONTEXT_A,2026-07-15
P-000160,FAM-000160,father,1971,29,CONTEXT_C,2026-07-15
M-000160,FAM-000160,mother,1971,29,CONTEXT_B,2026-07-15
P-000161,FAM-000161,father,1962,37,CONTEXT_A,2026-07-15
M-000161,FAM-000161,mother,1963,36,CONTEXT_A,2026-07-15
P-000162,FAM-000162,father,1969,29,CONTEXT_A,2026-07-15
M-000162,FAM-000162,mother,1965,33,CONTEXT_A,2026-07-15
P-000163,FAM-000163,father,1971,32,CONTEXT_A,2026-07-15
M-000163,FAM-000163,mother,1974,29,CONTEXT_A,2026-07-15
P-000164,FAM-000164,father,1979,25,CONTEXT_B,2026-07-15
M-000164,FAM-000164,mother,1981,23,CONTEXT_A,2026-07-15
P-000165,FAM-000165,father,1971,32,CONTEXT_B,2026-07-15
M-000165,FAM-000165,mother,1970,33,CONTEXT_A,2026-07-15
P-000166,FAM-000166,father,1976,29,CONTEXT_A,2026-07-15
M-000166,FAM-000166,mother,1979,26,CONTEXT_C,2026-07-15
P-000167,FAM-000167,father,1968,32,CONTEXT_B,2026-07-15
M-000167,FAM-000167,mother,1973,27,CONTEXT_A,2026-07-15
P-000168,FAM-000168,father,1964,34,CONTEXT_A,2026-07-15
M-000168,FAM-000168,mother,1968,30,CONTEXT_B,2026-07-15
P-000169,FAM-000169,father,1973,28,CONTEXT_C,2026-07-15
M-000169,FAM-000169,mother,1971,30,CONTEXT_C,2026-07-15
P-000170,FAM-000170,father,1980,26,CONTEXT_C,2026-07-15
M-000170,FAM-000170,mother,1980,26,CONTEXT_A,2026-07-15
P-000171,FAM-000171,father,1966,32,CONTEXT_B,2026-07-15
M-000171,FAM-000171,mother,1972,26,CONTEXT_A,2026-07-15
P-000172,FAM-000172,father,1977,31,CONTEXT_A,2026-07-15
M-000172,FAM-000172,mother,1984,24,CONTEXT_C,2026-07-15
P-000173,FAM-000173,father,1969,35,CONTEXT_A,2026-07-15
M-000173,FAM-000173,mother,1971,33,CONTEXT_A,2026-07-15
P-000174,FAM-000174,father,1981,25,CONTEXT_A,2026-07-15
M-000174,FAM-000174,mother,1982,24,CONTEXT_B,2026-07-15
P-000175,FAM-000175,father,1981,26,CONTEXT_A,2026-07-15
M-000175,FAM-000175,mother,1980,27,CONTEXT_A,2026-07-15
P-000176,FAM-000176,father,1969,35,CONTEXT_B,2026-07-15
M-000176,FAM-000176,mother,1972,32,CONTEXT_A,2026-07-15
P-000177,FAM-000177,father,1978,25,CONTEXT_A,2026-07-15
M-000177,FAM-000177,mother,1976,27,CONTEXT_B,2026-07-15
P-000178,FAM-000178,father,1969,36,CONTEXT_A,2026-07-15
M-000178,FAM-000178,mother,1975,30,CONTEXT_B,2026-07-15
P-000179,FAM-000179,father,1962,41,CONTEXT_A,2026-07-15
M-000179,FAM-000179,mother,1972,31,CONTEXT_C,2026-07-15
P-000180,FAM-000180,father,1986,18,CONTEXT_A,2026-07-15
M-000180,FAM-000180,mother,1983,21,CONTEXT_A,2026-07-15
P-000181,FAM-000181,father,1977,28,CONTEXT_A,2026-07-15
M-000181,FAM-000181,mother,1981,24,CONTEXT_A,2026-07-15
P-000182,FAM-000182,father,1976,22,CONTEXT_C,2026-07-15
M-000182,FAM-000182,mother,1974,24,CONTEXT_C,2026-07-15
P-000183,FAM-000183,father,1975,30,CONTEXT_A,2026-07-15
M-000183,FAM-000183,mother,1977,28,CONTEXT_A,2026-07-15
P-000184,FAM-000184,father,1960,47,CONTEXT_C,2026-07-15
M-000184,FAM-000184,mother,1967,40,CONTEXT_B,2026-07-15
P-000185,FAM-000185,father,1956,45,CONTEXT_B,2026-07-15
M-000185,FAM-000185,mother,1960,41,CONTEXT_C,2026-07-15
P-000186,FAM-000186,father,1967,34,CONTEXT_A,2026-07-15
M-000186,FAM-000186,mother,1969,32,CONTEXT_A,2026-07-15
P-000187,FAM-000187,father,1988,20,CONTEXT_A,2026-07-15
M-000187,FAM-000187,mother,1984,24,CONTEXT_B,2026-07-15
P-000188,FAM-000188,father,1973,31,CONTEXT_C,2026-07-15
M-000188,FAM-000188,mother,1976,28,CONTEXT_A,2026-07-15
P-000189,FAM-000189,father,1978,28,CONTEXT_C,2026-07-15
M-000189,FAM-000189,mother,1976,30,CONTEXT_B,2026-07-15
P-000190,FAM-000190,father,1976,28,CONTEXT_B,2026-07-15
M-000190,FAM-000190,mother,1976,28,CONTEXT_A,2026-07-15
P-000191,FAM-000191,father,1976,25,CONTEXT_A,2026-07-15
M-000191,FAM-000191,mother,1977,24,CONTEXT_C,2026-07-15
P-000192,FAM-000192,father,1961,37,CONTEXT_A,2026-07-15
M-000192,FAM-000192,mother,1969,29,CONTEXT_A,2026-07-15
P-000193,FAM-000193,father,1973,34,CONTEXT_A,2026-07-15
M-000193,FAM-000193,mother,1978,29,CONTEXT_C,2026-07-15
P-000194,FAM-000194,father,1973,29,CONTEXT_A,2026-07-15
M-000194,FAM-000194,mother,1971,31,CONTEXT_B,2026-07-15
P-000195,FAM-000195,father,1969,31,CONTEXT_A,2026-07-15
M-000195,FAM-000195,mother,1971,29,CONTEXT_A,2026-07-15
