family_id,region_code,area_context,socioeconomic_quintile_demo,protective_context_score_demo,family_created_at_demo
FAM-000072,REGION_A,metropolitan_demo,3,3.831,2026-07-15
FAM-000073,REGION_A,metropolitan_demo,4,1.377,2026-07-15
FAM-000074,REGION_C,remote_demo,3,5.377,2026-07-15
FAM-000075,REGION_A,metropolitan_demo,3,3.776,2026-07-15
FAM-000076,REGION_A,metropolitan_demo,3,3.192,2026-07-15
FAM-000077,REGION_A,metropolitan_demo,4,8.013,2026-07-15
FAM-000078,REGION_B,regional_demo,3,5.837,2026-07-15
FAM-000079,REGION_A,metropolitan_demo,3,4.91,2026-07-15
FAM-000080,REGION_B,regional_demo,4,8.072,2026-07-15
FAM-000081,REGION_A,metropolitan_demo,2,7.008,2026-07-15
FAM-000082,REGION_B,regional_demo,2,5.655,2026-07-15
FAM-000083,REGION_A,metropolitan_demo,3,5.605,2026-07-15
FAM-000084,REGION_A,metropolitan_demo,4,5.598,2026-07-15
FAM-000085,REGION_A,metropolitan_demo,2,7.191,2026-07-15
FAM-000086,REGION_B,regional_demo,3,0.826,2026-07-15
FAM-000087,REGION_B,regional_demo,4,7.138,2026-07-15
FAM-000088,REGION_B,regional_demo,5,7.692,2026-07-15
FAM-000089,REGION_A,metropolitan_demo,2,6.58,2026-07-15
FAM-000090,REGION_A,metropolitan_demo,2,3.792,2026-07-15
FAM-000091,REGION_B,regional_demo,3,5.446,2026-07-15
FAM-000092,REGION_A,metropolitan_demo,3,5.486,2026-07-15
FAM-000093,REGION_B,regional_demo,5,6.732,2026-07-15
FAM-000094,REGION_C,remote_demo,5,9.742,2026-07-15
FAM-000095,REGION_A,metropolitan_demo,1,6.006,2026-07-15
FAM-000096,REGION_A,metropolitan_demo,5,8.066,2026-07-15
FAM-000097,REGION_A,metropolitan_demo,5,5.783,2026-07-15
FAM-000098,REGION_B,regional_demo,4,4.507,2026-07-15
FAM-000099,REGION_B,regional_demo,4,3.669,2026-07-15
FAM-000100,REGION_B,regional_demo,4,6.397,2026-07-15
FAM-000101,REGION_C,remote_demo,5,5.222,2026-07-15
FAM-000102,REGION_B,regional_demo,4,4.74,2026-07-15
FAM-000103,REGION_A,metropolitan_demo,4,5.113,2026-07-15
FAM-000104,REGION_B,regional_demo,3,7.181,2026-07-15
FAM-000105,REGION_C,remote_demo,4,7.152,2026-07-15
FAM-000106,REGION_A,metropolitan_demo,3,5.045,2026-07-15
FAM-000107,REGION_A,metropolitan_demo,5,6.782,2026-07-15
FAM-000108,REGION_A,metropolitan_demo,3,5.667,2026-07-15
FAM-000109,REGION_B,regional_demo,1,2.807,2026-07-15
FAM-000110,REGION_C,remote_demo,3,6.227,2026-07-15
FAM-000111,REGION_A,metropolitan_demo,3,5.097,2026-07-15
FAM-000112,REGION_C,remote_demo,2,5.281,2026-07-15
FAM-000113,REGION_A,metropolitan_demo,4,4.723,2026-07-15
FAM-000114,REGION_A,metropolitan_demo,3,7.126,2026-07-15
FAM-000115,REGION_B,regional_demo,3,7.092,2026-07-15
FAM-000116,REGION_C,remote_demo,4,7.089,2026-07-15
FAM-000117,REGION_A,metropolitan_demo,3,5.388,2026-07-15
FAM-000118,REGION_B,regional_demo,3,6.193,2026-07-15
FAM-000119,REGION_A,metropolitan_demo,1,4.689,2026-07-15
FAM-000120,REGION_A,metropolitan_demo,3,6.697,2026-07-15
FAM-000121,REGION_A,metropolitan_demo,5,5.394,2026-07-15
FAM-000122,REGION_A,metropolitan_demo,3,5.043,2026-07-15
FAM-000123,REGION_A,metropolitan_demo,4,7.991,2026-07-15
FAM-000124,REGION_B,regional_demo,3,7.023,2026-07-15
FAM-000125,REGION_A,metropolitan_demo,4,7.181,2026-07-15
FAM-000126,REGION_A,metropolitan_demo,3,5.855,2026-07-15
FAM-000127,REGION_B,regional_demo,4,8.244,2026-07-15
FAM-000128,REGION_B,regional_demo,5,4.259,2026-07-15
FAM-000129,REGION_C,remote_demo,4,6.157,2026-07-15
FAM-000130,REGION_B,regional_demo,1,5.431,2026-07-15
FAM-000131,REGION_A,metropolitan_demo,4,6.043,2026-07-15
FAM-000132,REGION_A,metropolitan_demo,5,6.174,2026-07-15
FAM-000133,REGION_C,remote_demo,4,5.626,2026-07-15
FAM-000134,REGION_C,remote_demo,4,6.804,2026-07-15
FAM-000135,REGION_A,metropolitan_demo,4,5.992,2026-07-15
FAM-000136,REGION_B,regional_demo,3,6.492,2026-07-15
FAM-000137,REGION_A,metropolitan_demo,4,5.719,2026-07-15
FAM-000138,REGION_B,regional_demo,3,8.097,2026-07-15
FAM-000139,REGION_C,remote_demo,4,5.304,2026-07-15
FAM-000140,REGION_B,regional_demo,1,2.658,2026-07-15
FAM-000141,REGION_B,regional_demo,3,7.673,2026-07-15
FAM-000142,REGION_A,metropolitan_demo,5,8.066,2026-07-15
FAM-000143,REGION_A,metropolitan_demo,4,8.585,2026-07-15
FAM-000144,REGION_A,metropolitan_demo,1,4.774,2026-07-15
FAM-000145,REGION_A,metropolitan_demo,5,6.6,2026-07-15
FAM-000146,REGION_A,metropolitan_demo,4,7.47,2026-07-15
FAM-000147,REGION_B,regional_demo,5,4.785,2026-07-15
FAM-000148,REGION_B,regional_demo,3,5.51,2026-07-15
FAM-000149,REGION_A,metropolitan_demo,3,3.557,2026-07-15
FAM-000150,REGION_B,regional_demo,5,8.059,2026-07-15
FAM-000151,REGION_A,metropolitan_demo,4,5.435,2026-07-15
FAM-000152,REGION_C,remote_demo,2,1.025,2026-07-15
FAM-000153,REGION_A,metropolitan_demo,4,3.929,2026-07-15
FAM-000154,REGION_B,regional_demo,1,4.534,2026-07-15
FAM-000155,REGION_B,regional_demo,2,3.287,2026-07-15
FAM-000156,REGION_A,metropolitan_demo,3,7.494,2026-07-15
FAM-000157,REGION_A,metropolitan_demo,4,5.279,2026-07-15
FAM-000158,REGION_A,metropolitan_demo,3,5.273,2026-07-15
FAM-000159,REGION_A,metropolitan_demo,2,3.969,2026-07-15
FAM-000160,REGION_A,metropolitan_demo,3,6.969,2026-07-15
FAM-000161,REGION_A,metropolitan_demo,4,2.93,2026-07-15
FAM-000162,REGION_C,remote_demo,3,4.305,2026-07-15
FAM-000163,REGION_B,regional_demo,3,5.977,2026-07-15
FAM-000164,REGION_B,regional_demo,5,7.67,2026-07-15
FAM-000165,REGION_B,regional_demo,4,4.353,2026-07-15
FAM-000166,REGION_B,regional_demo,4,6.006,2026-07-15
FAM-000167,REGION_C,remote_demo,1,4.887,2026-07-15
FAM-000168,REGION_A,metropolitan_demo,2,3.16,2026-07-15
FAM-000169,REGION_C,remote_demo,5,7.7,2026-07-15
FAM-000170,REGION_A,metropolitan_demo,3,3.704,2026-07-15
FAM-000171,REGION_A,metropolitan_demo,3,8.784,2026-07-15
FAM-000172,REGION_B,regional_demo,3,5.249,2026-07-15
FAM-000173,REGION_B,regional_demo,3,5.305,2026-07-15
FAM-000174,REGION_C,remote_demo,3,4.324,2026-07-15
FAM-000175,REGION_A,metropolitan_demo,5,7.898,2026-07-15
FAM-000176,REGION_B,regional_demo,4,7.149,2026-07-15
FAM-000177,REGION_B,regional_demo,2,4.273,2026-07-15
FAM-000178,REGION_B,regional_demo,4,8.256,2026-07-15
FAM-000179,REGION_A,metropolitan_demo,3,6.551,2026-07-15
FAM-000180,REGION_A,metropolitan_demo,2,4.269,2026-07-15
FAM-000181,REGION_A,metropolitan_demo,5,4.476,2026-07-15
FAM-000182,REGION_B,regional_demo,2,7.562,2026-07-15
FAM-000183,REGION_B,regional_demo,2,5.197,2026-07-15
FAM-000184,REGION_B,regional_demo,4,4.811,2026-07-15
FAM-000185,REGION_B,regional_demo,1,3.716,2026-07-15
FAM-000186,REGION_A,metropolitan_demo,4,7.445,2026-07-15
FAM-000187,REGION_C,remote_demo,5,4.815,2026-07-15
FAM-000188,REGION_B,regional_demo,5,6.739,2026-07-15
FAM-000189,REGION_A,metropolitan_demo,4,5.099,2026-07-15
FAM-000190,REGION_C,remote_demo,2,5.072,2026-07-15
FAM-000191,REGION_A,metropolitan_demo,3,3.781,2026-07-15
FAM-000192,REGION_B,regional_demo,3,4.234,2026-07-15
FAM-000193,REGION_B,regional_demo,1,4.537,2026-07-15
FAM-000194,REGION_A,metropolitan_demo,4,7.095,2026-07-15
FAM-000195,REGION_A,metropolitan_demo,3,4.669,2026-07-15
FAM-000196,REGION_B,regional_demo,5,8.164,2026-07-15
FAM-000197,REGION_A,metropolitan_demo,4,6.546,2026-07-15
FAM-000198,REGION_A,metropolitan_demo,4,5.693,2026-07-15
FAM-000199,REGION_C,remote_demo,2,6.303,2026-07-15
FAM-000200,REGION_A,metropolitan_demo,3,5.482,2026-07-15
FAM-000201,REGION_B,regional_demo,5,6.003,2026-07-15
FAM-000202,REGION_B,regional_demo,2,5.786,2026-07-15
FAM-000203,REGION_B,regional_demo,3,4.451,2026-07-15
FAM-000204,REGION_C,remote_demo,3,5.358,2026-07-15
FAM-000205,REGION_A,metropolitan_demo,1,6.316,2026-07-15
FAM-000206,REGION_A,metropolitan_demo,3,4.18,2026-07-15
FAM-000207,REGION_B,regional_demo,3,3.839,2026-07-15
FAM-000208,REGION_C,remote_demo,4,5.306,2026-07-15
FAM-000209,REGION_A,metropolitan_demo,5,5.386,2026-07-15
FAM-000210,REGION_C,remote_demo,5,6.792,2026-07-15
FAM-000211,REGION_A,metropolitan_demo,2,6.552,2026-07-15
FAM-000212,REGION_A,metropolitan_demo,2,7.213,2026-07-15
FAM-000213,REGION_C,remote_demo,2,8.518,2026-07-15
FAM-000214,REGION_B,regional_demo,3,4.23,2026-07-15
FAM-000215,REGION_B,regional_demo,4,5.78,2026-07-15
FAM-000216,REGION_A,metropolitan_demo,3,3.391,2026-07-15
FAM-000217,REGION_A,metropolitan_demo,5,7.306,2026-07-15
FAM-000218,REGION_A,metropolitan_demo,5,6.792,2026-07-15
FAM-000219,REGION_A,metropolitan_demo,2,2.956,2026-07-15
FAM-000220,REGION_A,metropolitan_demo,4,6.784,2026-07-15
FAM-000221,REGION_B,regional_demo,5,7.704,2026-07-15
FAM-000222,REGION_A,metropolitan_demo,5,5.163,2026-07-15
FAM-000223,REGION_B,regional_demo,4,5.334,2026-07-15
FAM-000224,REGION_C,remote_demo,3,6.774,2026-07-15
FAM-000225,REGION_A,metropolitan_demo,1,4.741,2026-07-15
FAM-000226,REGION_C,remote_demo,5,6.112,2026-07-15
FAM-000227,REGION_C,remote_demo,5,6.851,2026-07-15
FAM-000228,REGION_B,regional_demo,2,5.165,2026-07-15
FAM-000229,REGION_B,regional_demo,1,4.062,2026-07-15
FAM-000230,REGION_B,regional_demo,3,5.53,2026-07-15
FAM-000231,REGION_A,metropolitan_demo,1,1.58,2026-07-15
FAM-000232,REGION_B,regional_demo,3,5.842,2026-07-15
FAM-000233,REGION_B,regional_demo,3,6.351,2026-07-15
FAM-000234,REGION_A,metropolitan_demo,3,6.304,2026-07-15
FAM-000235,REGION_C,remote_demo,3,6.254,2026-07-15
FAM-000236,REGION_A,metropolitan_demo,5,5.967,2026-07-15
FAM-000237,REGION_A,metropolitan_demo,4,5.522,2026-07-15
FAM-000238,REGION_A,metropolitan_demo,2,2.263,2026-07-15
FAM-000239,REGION_C,remote_demo,3,4.918,2026-07-15
FAM-000240,REGION_A,metropolitan_demo,5,7.284,2026-07-15
FAM-000241,REGION_B,regional_demo,1,5.011,2026-07-15
FAM-000242,REGION_C,remote_demo,2,3.106,2026-07-15
FAM-000243,REGION_B,regional_demo,4,6.347,2026-07-15
FAM-000244,REGION_C,remote_demo,3,3.247,2026-07-15
FAM-000245,REGION_B,regional_demo,5,3.678,2026-07-15
FAM-000246,REGION_B,regional_demo,5,6.5,2026-07-15
FAM-000247,REGION_A,metropolitan_demo,4,5.635,2026-07-15
FAM-000248,REGION_A,metropolitan_demo,3,5.186,2026-07-15
FAM-000249,REGION_A,metropolitan_demo,2,6.041,2026-07-15
FAM-000250,REGION_A,metropolitan_demo,4,4.303,2026-07-15
FAM-000251,REGION_A,metropolitan_demo,2,5.689,2026-07-15
FAM-000252,REGION_A,metropolitan_demo,2,6.542,2026-07-15
FAM-000253,REGION_A,metropolitan_demo,3,5.524,2026-07-15
FAM-000254,REGION_A,metropolitan_demo,5,9.661,2026-07-15
FAM-000255,REGION_C,remote_demo,2,5.335,2026-07-15
FAM-000256,REGION_A,metropolitan_demo,4,5.9,2026-07-15
FAM-000257,REGION_A,metropolitan_demo,5,9.338,2026-07-15
FAM-000258,REGION_B,regional_demo,3,4.962,2026-07-15
FAM-000259,REGION_B,regional_demo,5,6.654,2026-07-15
FAM-000260,REGION_A,metropolitan_demo,4,5.993,2026-07-15
FAM-000261,REGION_B,regional_demo,5,6.826,2026-07-15
FAM-000262,REGION_C,remote_demo,3,4.921,2026-07-15
FAM-000263,REGION_C,remote_demo,1,3.836,2026-07-15
FAM-000264,REGION_A,metropolitan_demo,4,8.572,2026-07-15
FAM-000265,REGION_A,metropolitan_demo,3,5.61,2026-07-15
FAM-000266,REGION_C,remote_demo,1,5.047,2026-07-15
FAM-000267,REGION_B,regional_demo,3,8.567,2026-07-15
FAM-000268,REGION_B,regional_demo,5,10.0,2026-07-15
FAM-000269,REGION_B,regional_demo,4,3.686,2026-07-15
FAM-000270,REGION_C,remote_demo,3,4.132,2026-07-15
FAM-000271,REGION_A,metropolitan_demo,4,1.712,2026-07-15
FAM-000272,REGION_B,regional_demo,4,7.778,2026-07-15
FAM-000273,REGION_C,remote_demo,4,5.26,2026-07-15
FAM-000274,REGION_B,regional_demo,3,5.208,2026-07-15
FAM-000275,REGION_B,regional_demo,3,6.884,2026-07-15
FAM-000276,REGION_B,regional_demo,2,3.599,2026-07-15
FAM-000277,REGION_A,metropolitan_demo,1,5.858,2026-07-15
FAM-000278,REGION_A,metropolitan_demo,4,6.822,2026-07-15
FAM-000279,REGION_C,remote_demo,3,4.209,2026-07-15
FAM-000280,REGION_A,metropolitan_demo,4,6.524,2026-07-15
FAM-000281,REGION_A,metropolitan_demo,2,6.876,2026-07-15
FAM-000282,REGION_B,regional_demo,2,4.99,2026-07-15
FAM-000283,REGION_B,regional_demo,4,6.41,2026-07-15
FAM-000284,REGION_A,metropolitan_demo,4,3.934,2026-07-15
FAM-000285,REGION_B,regional_demo,2,6.159,2026-07-15
FAM-000286,REGION_A,metropolitan_demo,2,7.826,2026-07-15
FAM-000287,REGION_B,regional_demo,4,5.842,2026-07-15
FAM-000288,REGION_A,metropolitan_demo,4,6.902,2026-07-15
FAM-000289,REGION_B,regional_demo,3,5.158,2026-07-15
FAM-000290,REGION_A,metropolitan_demo,5,6.671,2026-07-15
FAM-000291,REGION_B,regional_demo,2,3.718,2026-07-15
FAM-000292,REGION_C,remote_demo,3,2.523,2026-07-15
FAM-000293,REGION_A,metropolitan_demo,4,6.904,2026-07-15
FAM-000294,REGION_A,metropolitan_demo,4,6.108,2026-07-15
FAM-000295,REGION_A,metropolitan_demo,3,7.374,2026-07-15
FAM-000296,REGION_B,regional_demo,2,4.189,2026-07-15
FAM-000297,REGION_B,regional_demo,2,2.481,2026-07-15
FAM-000298,REGION_B,regional_demo,5,5.739,2026-07-15
FAM-000299,REGION_A,metropolitan_demo,4,7.028,2026-07-15
FAM-000300,REGION_B,regional_demo,1,6.02,2026-07-15
FAM-000301,REGION_B,regional_demo,5,7.749,2026-07-15
FAM-000302,REGION_C,remote_demo,4,6.641,2026-07-15
FAM-000303,REGION_C,remote_demo,2,4.682,2026-07-15
FAM-000304,REGION_B,regional_demo,3,6.262,2026-07-15
FAM-000305,REGION_A,metropolitan_demo,2,6.304,2026-07-15
FAM-000306,REGION_A,metropolitan_demo,5,7.486,2026-07-15
FAM-000307,REGION_B,regional_demo,5,10.0,2026-07-15
FAM-000308,REGION_A,metropolitan_demo,5,7.235,2026-07-15
FAM-000309,REGION_B,regional_demo,3,3.375,2026-07-15
FAM-000310,REGION_B,regional_demo,3,7.483,2026-07-15
FAM-000311,REGION_B,regional_demo,2,3.712,2026-07-15
FAM-000312,REGION_A,metropolitan_demo,3,4.785,2026-07-15
FAM-000313,REGION_A,metropolitan_demo,3,2.996,2026-07-15
FAM-000314,REGION_A,metropolitan_demo,1,5.356,2026-07-15
FAM-000315,REGION_A,metropolitan_demo,3,4.61,2026-07-15
FAM-000316,REGION_C,remote_demo,5,5.42,2026-07-15
FAM-000317,REGION_C,remote_demo,3,5.687,2026-07-15
FAM-000318,REGION_A,metropolitan_demo,3,4.733,2026-07-15
FAM-000319,REGION_B,regional_demo,2,3.832,2026-07-15
FAM-000320,REGION_A,metropolitan_demo,3,3.907,2026-07-15
FAM-000321,REGION_B,regional_demo,3,6.497,2026-07-15
FAM-000322,REGION_A,metropolitan_demo,2,5.528,2026-07-15
FAM-000323,REGION_A,metropolitan_demo,5,5.741,2026-07-15
FAM-000324,REGION_A,metropolitan_demo,4,7.555,2026-07-15
FAM-000325,REGION_A,metropolitan_demo,3,3.376,2026-07-15
FAM-000326,REGION_A,metropolitan_demo,3,7.791,2026-07-15
FAM-000327,REGION_C,remote_demo,2,3.769,2026-07-15
FAM-000328,REGION_B,regional_demo,5,6.895,2026-07-15
FAM-000329,REGION_B,regional_demo,5,6.019,2026-07-15
FAM-000330,REGION_A,metropolitan_demo,5,7.647,2026-07-15
FAM-000331,REGION_C,remote_demo,2,4.793,2026-07-15
FAM-000332,REGION_A,metropolitan_demo,2,7.305,2026-07-15
FAM-000333,REGION_B,regional_demo,4,7.742,2026-07-15
FAM-000334,REGION_A,metropolitan_demo,2,4.733,2026-07-15
FAM-000335,REGION_A,metropolitan_demo,3,6.711,2026-07-15
FAM-000336,REGION_A,metropolitan_demo,2,3.492,2026-07-15
FAM-000337,REGION_B,regional_demo,5,4.918,2026-07-15
FAM-000338,REGION_B,regional_demo,2,6.05,2026-07-15
FAM-000339,REGION_B,regional_demo,1,5.268,2026-07-15
FAM-000340,REGION_C,remote_demo,4,8.295,2026-07-15
FAM-000341,REGION_A,metropolitan_demo,3,6.729,2026-07-15
FAM-000342,REGION_A,metropolitan_demo,5,5.762,2026-07-15
FAM-000343,REGION_B,regional_demo,3,6.785,2026-07-15
FAM-000344,REGION_A,metropolitan_demo,3,5.466,2026-07-15
FAM-000345,REGION_A,metropolitan_demo,2,6.14,2026-07-15
FAM-000346,REGION_A,metropolitan_demo,3,5.923,2026-07-15
FAM-000347,REGION_A,metropolitan_demo,4,6.021,2026-07-15
FAM-000348,REGION_C,remote_demo,4,6.773,2026-07-15
FAM-000349,REGION_B,regional_demo,3,6.656,2026-07-15
FAM-000350,REGION_B,regional_demo,5,4.056,2026-07-15
FAM-000351,REGION_A,metropolitan_demo,5,6.919,2026-07-15
FAM-000352,REGION_B,regional_demo,5,7.846,2026-07-15
FAM-000353,REGION_B,regional_demo,2,5.841,2026-07-15
FAM-000354,REGION_B,regional_demo,3,7.045,2026-07-15
FAM-000355,REGION_A,metropolitan_demo,4,4.835,2026-07-15
FAM-000356,REGION_A,metropolitan_demo,5,7.638,2026-07-15
FAM-000357,REGION_A,metropolitan_demo,3,5.364,2026-07-15
FAM-000358,REGION_C,remote_demo,3,6.998,2026-07-15
FAM-000359,REGION_A,metropolitan_demo,5,5.958,2026-07-15
FAM-000360,REGION_B,regional_demo,1,7.065,2026-07-15
FAM-000361,REGION_A,metropolitan_demo,4,4.998,2026-07-15
FAM-000362,REGION_B,regional_demo,3,4.711,2026-07-15
FAM-000363,REGION_A,metropolitan_demo,2,5.571,2026-07-15
FAM-000364,REGION_A,metropolitan_demo,5,5.822,2026-07-15
FAM-000365,REGION_A,metropolitan_demo,5,5.987,2026-07-15
FAM-000366,REGION_A,metropolitan_demo,2,4.709,2026-07-15
FAM-000367,REGION_C,remote_demo,2,7.009,2026-07-15
FAM-000368,REGION_A,metropolitan_demo,2,5.715,2026-07-15
FAM-000369,REGION_B,regional_demo,2,6.326,2026-07-15
FAM-000370,REGION_A,metropolitan_demo,1,2.757,2026-07-15
FAM-000371,REGION_A,metropolitan_demo,4,8.388,2026-07-15
FAM-000372,REGION_B,regional_demo,2,5.527,2026-07-15
FAM-000373,REGION_A,metropolitan_demo,4,7.073,2026-07-15
FAM-000374,REGION_B,regional_demo,1,6.037,2026-07-15
FAM-000375,REGION_B,regional_demo,4,5.148,2026-07-15
FAM-000376,REGION_B,regional_demo,2,5.102,2026-07-15
FAM-000377,REGION_A,metropolitan_demo,5,7.891,2026-07-15
FAM-000378,REGION_A,metropolitan_demo,5,8.271,2026-07-15
FAM-000379,REGION_A,metropolitan_demo,4,4.202,2026-07-15
FAM-000380,REGION_A,metropolitan_demo,3,6.53,2026-07-15
FAM-000381,REGION_B,regional_demo,2,3.207,2026-07-15
FAM-000382,REGION_A,metropolitan_demo,4,7.515,2026-07-15
FAM-000383,REGION_B,regional_demo,4,6.486,2026-07-15
FAM-000384,REGION_B,regional_demo,2,2.735,2026-07-15
FAM-000385,REGION_B,regional_demo,3,6.104,2026-07-15
FAM-000386,REGION_B,regional_demo,5,8.755,2026-07-15
FAM-000387,REGION_C,remote_demo,2,5.211,2026-07-15
FAM-000388,REGION_B,regional_demo,1,4.322,2026-07-15
FAM-000389,REGION_C,remote_demo,2,4.483,2026-07-15
FAM-000390,REGION_A,metropolitan_demo,4,6.371,2026-07-15
FAM-000391,REGION_A,metropolitan_demo,4,5.437,2026-07-15
FAM-000392,REGION_A,metropolitan_demo,5,9.045,2026-07-15
FAM-000393,REGION_B,regional_demo,3,5.865,2026-07-15
FAM-000394,REGION_A,metropolitan_demo,2,7.407,2026-07-15
FAM-000395,REGION_B,regional_demo,3,5.595,2026-07-15
FAM-000396,REGION_A,metropolitan_demo,1,5.177,2026-07-15
FAM-000397,REGION_C,remote_demo,3,3.197,2026-07-15
FAM-000398,REGION_C,remote_demo,2,4.619,2026-07-15
FAM-000399,REGION_A,metropolitan_demo,4,3.685,2026-07-15
FAM-000400,REGION_C,remote_demo,5,7.192,2026-07-15
FAM-000401,REGION_B,regional_demo,4,6.687,2026-07-15
FAM-000402,REGION_B,regional_demo,3,6.109,2026-07-15
FAM-000403,REGION_B,regional_demo,1,3.168,2026-07-15
FAM-000404,REGION_C,remote_demo,4,3.827,2026-07-15
FAM-000405,REGION_C,remote_demo,4,5.023,2026-07-15
FAM-000406,REGION_C,remote_demo,5,6.354,2026-07-15
FAM-000407,REGION_A,metropolitan_demo,3,5.138,2026-07-15
FAM-000408,REGION_A,metropolitan_demo,4,4.481,2026-07-15
FAM-000409,REGION_B,regional_demo,4,4.678,2026-07-15
FAM-000410,REGION_B,regional_demo,4,6.764,2026-07-15
FAM-000411,REGION_A,metropolitan_demo,3,4.101,2026-07-15
FAM-000412,REGION_B,regional_demo,3,6.239,2026-07-15
FAM-000413,REGION_B,regional_demo,3,6.936,2026-07-15
FAM-000414,REGION_C,remote_demo,4,4.983,2026-07-15
FAM-000415,REGION_B,regional_demo,4,5.916,2026-07-15
FAM-000416,REGION_B,regional_demo,1,5.207,2026-07-15
