assessment_id,child_id,assessment_age_years,assessment_domain,standardised_score_demo,assessment_date_demo,assessment_status,record_created_at_demo
EDU-000045,CH-000006,12,literacy_demo,-1.6479,2018-02-16,observed,2026-07-15
EDU-000046,CH-000006,12,numeracy_demo,-0.1346,2018-04-09,observed,2026-07-15
EDU-000047,CH-000006,14,literacy_demo,,2020-02-21,missing_demo,2026-07-15
EDU-000048,CH-000006,14,numeracy_demo,-1.439,2020-03-26,observed,2026-07-15
EDU-000049,CH-000007,8,literacy_demo,0.5349,2016-04-30,observed,2026-07-15
EDU-000050,CH-000007,8,numeracy_demo,0.5086,2016-04-11,observed,2026-07-15
EDU-000051,CH-000007,10,literacy_demo,0.158,2018-02-27,observed,2026-07-15
EDU-000052,CH-000007,10,numeracy_demo,0.6541,2018-02-09,observed,2026-07-15
EDU-000053,CH-000007,12,literacy_demo,0.3048,2020-02-13,observed,2026-07-15
EDU-000054,CH-000007,12,numeracy_demo,-0.2112,2020-02-29,observed,2026-07-15
EDU-000055,CH-000007,14,literacy_demo,0.4172,2022-04-28,observed,2026-07-15
EDU-000056,CH-000007,14,numeracy_demo,1.0082,2022-03-31,observed,2026-07-15
EDU-000057,CH-000008,8,literacy_demo,2.3331,2016-07-17,observed,2026-07-15
EDU-000058,CH-000008,8,numeracy_demo,2.1739,2016-06-28,observed,2026-07-15
EDU-000059,CH-000008,10,literacy_demo,2.8787,2018-07-04,observed,2026-07-15
EDU-000060,CH-000008,10,numeracy_demo,2.1633,2018-07-25,observed,2026-07-15
EDU-000061,CH-000008,12,literacy_demo,2.2246,2020-08-12,observed,2026-07-15
EDU-000062,CH-000008,12,numeracy_demo,2.8319,2020-07-31,observed,2026-07-15
EDU-000063,CH-000008,14,literacy_demo,2.2355,2022-08-01,observed,2026-07-15
EDU-000064,CH-000008,14,numeracy_demo,,2022-07-09,missing_demo,2026-07-15
EDU-000065,CH-000009,8,literacy_demo,0.4394,2015-09-22,observed,2026-07-15
EDU-000066,CH-000009,8,numeracy_demo,0.4892,2015-11-26,observed,2026-07-15
EDU-000067,CH-000009,10,literacy_demo,,2017-10-28,missing_demo,2026-07-15
EDU-000068,CH-000009,10,numeracy_demo,0.1666,2017-10-05,observed,2026-07-15
EDU-000069,CH-000009,12,literacy_demo,1.2516,2019-09-13,observed,2026-07-15
EDU-000070,CH-000009,12,numeracy_demo,,2019-10-08,missing_demo,2026-07-15
EDU-000071,CH-000009,14,literacy_demo,,2021-12-08,missing_demo,2026-07-15
EDU-000072,CH-000009,14,numeracy_demo,1.2608,2021-10-05,observed,2026-07-15
EDU-000073,CH-000010,8,literacy_demo,0.8201,2018-10-07,observed,2026-07-15
EDU-000074,CH-000010,8,numeracy_demo,0.2518,2018-09-25,observed,2026-07-15
EDU-000075,CH-000010,10,literacy_demo,0.4835,2020-11-01,observed,2026-07-15
EDU-000076,CH-000010,10,numeracy_demo,0.1777,2020-10-19,observed,2026-07-15
EDU-000077,CH-000010,12,literacy_demo,0.4276,2022-10-02,observed,2026-07-15
EDU-000078,CH-000010,12,numeracy_demo,1.3728,2022-09-21,observed,2026-07-15
EDU-000079,CH-000010,14,literacy_demo,0.5951,2024-10-12,observed,2026-07-15
EDU-000080,CH-000010,14,numeracy_demo,0.4469,2024-10-23,observed,2026-07-15
EDU-000081,CH-000011,8,literacy_demo,-0.5366,2015-10-29,observed,2026-07-15
EDU-000082,CH-000011,8,numeracy_demo,-0.1017,2015-09-02,observed,2026-07-15
EDU-000083,CH-000011,10,literacy_demo,0.0663,2017-10-07,observed,2026-07-15
EDU-000084,CH-000011,10,numeracy_demo,0.711,2017-09-12,observed,2026-07-15
EDU-000085,CH-000011,12,literacy_demo,-0.1648,2019-10-26,observed,2026-07-15
EDU-000086,CH-000011,12,numeracy_demo,-0.2887,2019-08-17,observed,2026-07-15
EDU-000087,CH-000011,14,literacy_demo,-0.7938,2021-08-27,observed,2026-07-15
EDU-000088,CH-000011,14,numeracy_demo,-0.1695,2021-10-22,observed,2026-07-15
EDU-000089,CH-000012,8,literacy_demo,-1.3161,2013-02-08,observed,2026-07-15
EDU-000090,CH-000012,8,numeracy_demo,,2013-04-03,missing_demo,2026-07-15
EDU-000091,CH-000012,10,literacy_demo,-0.901,2015-04-12,observed,2026-07-15
EDU-000092,CH-000012,10,numeracy_demo,,2015-03-02,missing_demo,2026-07-15
EDU-000093,CH-000012,12,literacy_demo,-0.4925,2017-04-25,observed,2026-07-15
EDU-000094,CH-000012,12,numeracy_demo,,2017-02-27,missing_demo,2026-07-15
EDU-000095,CH-000012,14,literacy_demo,-0.3223,2019-04-11,observed,2026-07-15
EDU-000096,CH-000012,14,numeracy_demo,-0.3769,2019-04-01,observed,2026-07-15
EDU-000097,CH-000013,8,literacy_demo,0.1253,2015-02-14,observed,2026-07-15
EDU-000098,CH-000013,8,numeracy_demo,-0.555,2015-01-02,observed,2026-07-15
EDU-000099,CH-000013,10,literacy_demo,-1.1819,2016-12-13,observed,2026-07-15
EDU-000100,CH-000013,10,numeracy_demo,-0.3679,2017-02-01,observed,2026-07-15
EDU-000101,CH-000013,12,literacy_demo,,2019-01-12,missing_demo,2026-07-15
EDU-000102,CH-000013,12,numeracy_demo,-0.2581,2019-01-29,observed,2026-07-15
EDU-000103,CH-000013,14,literacy_demo,-0.7062,2020-12-24,observed,2026-07-15
EDU-000104,CH-000013,14,numeracy_demo,-0.0327,2021-03-03,observed,2026-07-15
EDU-000105,CH-000014,8,literacy_demo,,2015-09-17,missing_demo,2026-07-15
EDU-000106,CH-000014,8,numeracy_demo,1.6583,2015-09-25,observed,2026-07-15
EDU-000107,CH-000014,10,literacy_demo,1.3398,2017-11-07,observed,2026-07-15
EDU-000108,CH-000014,10,numeracy_demo,1.404,2017-09-17,observed,2026-07-15
EDU-000109,CH-000014,12,literacy_demo,1.5242,2019-11-02,observed,2026-07-15
EDU-000110,CH-000014,12,numeracy_demo,1.5209,2019-11-25,observed,2026-07-15
EDU-000111,CH-000014,14,literacy_demo,1.6989,2021-10-03,observed,2026-07-15
EDU-000112,CH-000014,14,numeracy_demo,1.8496,2021-11-13,observed,2026-07-15
EDU-000113,CH-000015,8,literacy_demo,,2014-12-28,missing_demo,2026-07-15
EDU-000114,CH-000015,8,numeracy_demo,0.5458,2014-12-05,observed,2026-07-15
EDU-000115,CH-000015,10,literacy_demo,0.9311,2017-01-18,observed,2026-07-15
EDU-000116,CH-000015,10,numeracy_demo,0.3868,2016-11-10,observed,2026-07-15
EDU-000117,CH-000015,12,literacy_demo,1.6942,2018-11-12,observed,2026-07-15
EDU-000118,CH-000015,12,numeracy_demo,1.4177,2018-11-13,observed,2026-07-15
EDU-000119,CH-000015,14,literacy_demo,0.1837,2020-12-05,observed,2026-07-15
EDU-000120,CH-000015,14,numeracy_demo,2.522,2020-12-04,observed,2026-07-15
EDU-000121,CH-000016,8,literacy_demo,1.002,2017-06-24,observed,2026-07-15
EDU-000122,CH-000016,8,numeracy_demo,1.1841,2017-08-15,observed,2026-07-15
EDU-000123,CH-000016,10,literacy_demo,0.4883,2019-07-23,observed,2026-07-15
EDU-000124,CH-000016,10,numeracy_demo,1.5458,2019-07-14,observed,2026-07-15
EDU-000125,CH-000016,12,literacy_demo,1.0561,2021-09-14,observed,2026-07-15
EDU-000126,CH-000016,12,numeracy_demo,1.2841,2021-08-13,observed,2026-07-15
EDU-000127,CH-000016,14,literacy_demo,1.5997,2023-07-25,observed,2026-07-15
EDU-000128,CH-000016,14,numeracy_demo,1.4848,2023-08-18,observed,2026-07-15
EDU-000129,CH-000017,8,literacy_demo,-0.1395,2011-05-06,observed,2026-07-15
EDU-000130,CH-000017,8,numeracy_demo,0.3631,2011-06-13,observed,2026-07-15
EDU-000131,CH-000017,10,literacy_demo,0.2808,2013-07-13,observed,2026-07-15
EDU-000132,CH-000017,10,numeracy_demo,1.004,2013-04-17,observed,2026-07-15
EDU-000133,CH-000017,12,literacy_demo,0.9258,2015-06-16,observed,2026-07-15
EDU-000134,CH-000017,12,numeracy_demo,0.5525,2015-07-05,observed,2026-07-15
EDU-000135,CH-000017,14,literacy_demo,1.0159,2017-06-02,observed,2026-07-15
EDU-000136,CH-000017,14,numeracy_demo,2.0849,2017-04-20,observed,2026-07-15
EDU-000137,CH-000018,8,literacy_demo,-0.2219,2013-09-23,observed,2026-07-15
EDU-000138,CH-000018,8,numeracy_demo,0.3159,2013-09-16,observed,2026-07-15
EDU-000139,CH-000018,10,literacy_demo,-0.0046,2015-08-15,observed,2026-07-15
EDU-000140,CH-000018,10,numeracy_demo,,2015-08-05,missing_demo,2026-07-15
EDU-000141,CH-000018,12,literacy_demo,0.2725,2017-10-14,observed,2026-07-15
EDU-000142,CH-000018,12,numeracy_demo,0.17,2017-08-31,observed,2026-07-15
EDU-000143,CH-000018,14,literacy_demo,-0.2113,2019-08-18,observed,2026-07-15
EDU-000144,CH-000018,14,numeracy_demo,0.1394,2019-07-19,observed,2026-07-15
EDU-000145,CH-000019,8,literacy_demo,0.717,2016-10-12,observed,2026-07-15
EDU-000146,CH-000019,8,numeracy_demo,0.8445,2016-11-04,observed,2026-07-15
EDU-000147,CH-000019,10,literacy_demo,0.3496,2018-09-27,observed,2026-07-15
EDU-000148,CH-000019,10,numeracy_demo,-0.3089,2018-09-18,observed,2026-07-15
EDU-000149,CH-000019,12,literacy_demo,-0.0162,2020-11-11,observed,2026-07-15
EDU-000150,CH-000019,12,numeracy_demo,-0.146,2020-10-07,observed,2026-07-15
EDU-000151,CH-000019,14,literacy_demo,0.6584,2022-09-07,observed,2026-07-15
EDU-000152,CH-000019,14,numeracy_demo,0.9115,2022-10-13,observed,2026-07-15
EDU-000153,CH-000020,8,literacy_demo,-2.0765,2012-11-07,observed,2026-07-15
EDU-000154,CH-000020,8,numeracy_demo,-2.2804,2012-11-15,observed,2026-07-15
EDU-000155,CH-000020,10,literacy_demo,,2014-12-25,missing_demo,2026-07-15
EDU-000156,CH-000020,10,numeracy_demo,-1.1963,2014-10-31,observed,2026-07-15
EDU-000157,CH-000020,12,literacy_demo,-2.4032,2016-11-29,observed,2026-07-15
EDU-000158,CH-000020,12,numeracy_demo,-1.4526,2016-11-02,observed,2026-07-15
EDU-000159,CH-000020,14,literacy_demo,-1.3654,2018-12-05,observed,2026-07-15
EDU-000160,CH-000020,14,numeracy_demo,-1.6014,2018-12-08,observed,2026-07-15
EDU-000161,CH-000021,8,literacy_demo,-0.8884,2015-04-24,observed,2026-07-15
EDU-000162,CH-000021,8,numeracy_demo,-0.1641,2015-05-22,observed,2026-07-15
EDU-000163,CH-000021,10,literacy_demo,0.2488,2017-07-03,observed,2026-07-15
EDU-000164,CH-000021,10,numeracy_demo,-0.3553,2017-07-17,observed,2026-07-15
EDU-000165,CH-000021,12,literacy_demo,-0.7832,2019-07-13,observed,2026-07-15
EDU-000166,CH-000021,12,numeracy_demo,-1.1162,2019-05-02,observed,2026-07-15
EDU-000167,CH-000021,14,literacy_demo,-0.6442,2021-06-07,observed,2026-07-15
EDU-000168,CH-000021,14,numeracy_demo,,2021-06-06,missing_demo,2026-07-15
EDU-000169,CH-000022,8,literacy_demo,-0.5394,2017-11-06,observed,2026-07-15
EDU-000170,CH-000022,8,numeracy_demo,-0.7999,2017-10-18,observed,2026-07-15
EDU-000171,CH-000022,10,literacy_demo,-1.3363,2019-09-09,observed,2026-07-15
EDU-000172,CH-000022,10,numeracy_demo,-0.4195,2019-09-04,observed,2026-07-15
EDU-000173,CH-000022,12,literacy_demo,-0.3248,2021-11-07,observed,2026-07-15
EDU-000174,CH-000022,12,numeracy_demo,-1.2115,2021-09-12,observed,2026-07-15
EDU-000175,CH-000022,14,literacy_demo,-0.6837,2023-10-07,observed,2026-07-15
EDU-000176,CH-000022,14,numeracy_demo,-0.3101,2023-11-07,observed,2026-07-15
EDU-000177,CH-000023,8,literacy_demo,0.4196,2013-01-24,observed,2026-07-15
EDU-000178,CH-000023,8,numeracy_demo,0.4108,2013-03-06,observed,2026-07-15
EDU-000179,CH-000023,10,literacy_demo,0.9885,2015-04-03,observed,2026-07-15
EDU-000180,CH-000023,10,numeracy_demo,0.0047,2015-01-31,observed,2026-07-15
EDU-000181,CH-000023,12,literacy_demo,0.6576,2017-03-31,observed,2026-07-15
EDU-000182,CH-000023,12,numeracy_demo,0.3007,2017-04-07,observed,2026-07-15
EDU-000183,CH-000023,14,literacy_demo,0.3708,2019-02-05,observed,2026-07-15
EDU-000184,CH-000023,14,numeracy_demo,0.4171,2019-02-25,observed,2026-07-15
EDU-000185,CH-000024,8,literacy_demo,0.5272,2009-04-25,observed,2026-07-15
EDU-000186,CH-000024,8,numeracy_demo,0.4038,2009-03-18,observed,2026-07-15
EDU-000187,CH-000024,10,literacy_demo,0.7829,2011-04-02,observed,2026-07-15
EDU-000188,CH-000024,10,numeracy_demo,1.0712,2011-03-29,observed,2026-07-15
EDU-000189,CH-000024,12,literacy_demo,0.5828,2013-04-02,observed,2026-07-15
EDU-000190,CH-000024,12,numeracy_demo,1.049,2013-04-17,observed,2026-07-15
EDU-000191,CH-000024,14,literacy_demo,1.1833,2015-04-24,observed,2026-07-15
EDU-000192,CH-000024,14,numeracy_demo,1.4875,2015-02-27,observed,2026-07-15
EDU-000193,CH-000025,8,literacy_demo,1.4056,2010-10-18,observed,2026-07-15
EDU-000194,CH-000025,8,numeracy_demo,1.2183,2010-10-21,observed,2026-07-15
EDU-000195,CH-000025,10,literacy_demo,0.6807,2012-09-04,observed,2026-07-15
EDU-000196,CH-000025,10,numeracy_demo,0.5717,2012-09-30,observed,2026-07-15
EDU-000197,CH-000025,12,literacy_demo,0.7335,2014-10-22,observed,2026-07-15
EDU-000198,CH-000025,12,numeracy_demo,1.3773,2014-09-15,observed,2026-07-15
EDU-000199,CH-000025,14,literacy_demo,1.3618,2016-09-30,observed,2026-07-15
EDU-000200,CH-000025,14,numeracy_demo,1.6941,2016-09-30,observed,2026-07-15
EDU-000201,CH-000026,8,literacy_demo,-0.3992,2015-10-05,observed,2026-07-15
EDU-000202,CH-000026,8,numeracy_demo,-1.2878,2015-10-06,observed,2026-07-15
EDU-000203,CH-000026,10,literacy_demo,,2017-08-23,missing_demo,2026-07-15
EDU-000204,CH-000026,10,numeracy_demo,0.1935,2017-09-08,observed,2026-07-15
EDU-000205,CH-000026,12,literacy_demo,-1.6047,2019-10-11,observed,2026-07-15
EDU-000206,CH-000026,12,numeracy_demo,-0.4556,2019-10-14,observed,2026-07-15
EDU-000207,CH-000026,14,literacy_demo,,2021-07-20,missing_demo,2026-07-15
EDU-000208,CH-000026,14,numeracy_demo,-0.0331,2021-09-11,observed,2026-07-15
EDU-000209,CH-000027,8,literacy_demo,-1.6258,2017-10-24,observed,2026-07-15
EDU-000210,CH-000027,8,numeracy_demo,-1.3188,2017-11-17,observed,2026-07-15
EDU-000211,CH-000027,10,literacy_demo,,2019-10-11,missing_demo,2026-07-15
EDU-000212,CH-000027,10,numeracy_demo,-2.6118,2019-10-11,observed,2026-07-15
EDU-000213,CH-000027,12,literacy_demo,-2.0217,2021-10-30,observed,2026-07-15
EDU-000214,CH-000027,12,numeracy_demo,,2021-10-01,missing_demo,2026-07-15
EDU-000215,CH-000027,14,literacy_demo,-1.6863,2023-11-03,observed,2026-07-15
EDU-000216,CH-000027,14,numeracy_demo,-1.4406,2023-11-19,observed,2026-07-15
EDU-000217,CH-000028,8,literacy_demo,1.0336,2008-07-16,observed,2026-07-15
EDU-000218,CH-000028,8,numeracy_demo,0.5547,2008-07-05,observed,2026-07-15
EDU-000219,CH-000028,10,literacy_demo,0.7621,2010-05-18,observed,2026-07-15
EDU-000220,CH-000028,10,numeracy_demo,0.9427,2010-05-16,observed,2026-07-15
EDU-000221,CH-000028,12,literacy_demo,0.4196,2012-05-18,observed,2026-07-15
EDU-000222,CH-000028,12,numeracy_demo,0.7352,2012-06-06,observed,2026-07-15
EDU-000223,CH-000028,14,literacy_demo,-0.4276,2014-05-10,observed,2026-07-15
EDU-000224,CH-000028,14,numeracy_demo,-0.1967,2014-06-10,observed,2026-07-15
EDU-000225,CH-000029,8,literacy_demo,0.0183,2010-06-26,observed,2026-07-15
EDU-000226,CH-000029,8,numeracy_demo,0.5355,2010-08-06,observed,2026-07-15
EDU-000227,CH-000029,10,literacy_demo,0.6288,2012-06-29,observed,2026-07-15
EDU-000228,CH-000029,10,numeracy_demo,0.726,2012-06-22,observed,2026-07-15
EDU-000229,CH-000029,12,literacy_demo,0.791,2014-06-29,observed,2026-07-15
EDU-000230,CH-000029,12,numeracy_demo,0.5767,2014-05-19,observed,2026-07-15
EDU-000231,CH-000029,14,literacy_demo,0.2744,2016-07-21,observed,2026-07-15
EDU-000232,CH-000029,14,numeracy_demo,0.5502,2016-08-02,observed,2026-07-15
EDU-000233,CH-000030,8,literacy_demo,-0.0058,2008-08-06,observed,2026-07-15
EDU-000234,CH-000030,8,numeracy_demo,0.1408,2008-07-21,observed,2026-07-15
EDU-000235,CH-000030,10,literacy_demo,-0.2143,2010-09-24,observed,2026-07-15
EDU-000236,CH-000030,10,numeracy_demo,-0.1271,2010-08-22,observed,2026-07-15
EDU-000237,CH-000030,12,literacy_demo,0.3395,2012-08-28,observed,2026-07-15
EDU-000238,CH-000030,12,numeracy_demo,-0.0228,2012-09-15,observed,2026-07-15
EDU-000239,CH-000030,14,literacy_demo,0.4161,2014-07-22,observed,2026-07-15
EDU-000240,CH-000030,14,numeracy_demo,0.5269,2014-07-14,observed,2026-07-15
EDU-000241,CH-000031,8,literacy_demo,-3.035,2008-07-25,observed,2026-07-15
EDU-000242,CH-000031,8,numeracy_demo,,2008-07-21,missing_demo,2026-07-15
EDU-000243,CH-000031,10,literacy_demo,-2.8819,2010-07-17,observed,2026-07-15
EDU-000244,CH-000031,10,numeracy_demo,-2.3001,2010-06-17,observed,2026-07-15
EDU-000245,CH-000031,12,literacy_demo,-2.8354,2012-07-18,observed,2026-07-15
EDU-000246,CH-000031,12,numeracy_demo,-3.2654,2012-07-12,observed,2026-07-15
EDU-000247,CH-000031,14,literacy_demo,-2.8626,2014-07-26,observed,2026-07-15
EDU-000248,CH-000031,14,numeracy_demo,-3.7918,2014-07-14,observed,2026-07-15
EDU-000249,CH-000032,8,literacy_demo,-0.4442,2007-03-09,observed,2026-07-15
EDU-000250,CH-000032,8,numeracy_demo,-0.3158,2007-03-03,observed,2026-07-15
EDU-000251,CH-000032,10,literacy_demo,-0.0908,2009-03-27,observed,2026-07-15
EDU-000252,CH-000032,10,numeracy_demo,-0.7748,2009-03-03,observed,2026-07-15
EDU-000253,CH-000032,12,literacy_demo,-0.817,2011-03-06,observed,2026-07-15
EDU-000254,CH-000032,12,numeracy_demo,-0.4453,2011-02-03,observed,2026-07-15
EDU-000255,CH-000032,14,literacy_demo,-0.5603,2013-02-18,observed,2026-07-15
EDU-000256,CH-000032,14,numeracy_demo,0.2125,2013-03-09,observed,2026-07-15
EDU-000257,CH-000033,8,literacy_demo,-0.8977,2009-01-26,observed,2026-07-15
EDU-000258,CH-000033,8,numeracy_demo,0.5762,2009-04-11,observed,2026-07-15
EDU-000259,CH-000033,10,literacy_demo,-0.269,2011-04-05,observed,2026-07-15
EDU-000260,CH-000033,10,numeracy_demo,0.2448,2011-02-18,observed,2026-07-15
EDU-000261,CH-000033,12,literacy_demo,0.4908,2013-02-18,observed,2026-07-15
EDU-000262,CH-000033,12,numeracy_demo,0.9204,2013-02-13,observed,2026-07-15
EDU-000263,CH-000033,14,literacy_demo,,2015-01-26,missing_demo,2026-07-15
EDU-000264,CH-000033,14,numeracy_demo,0.578,2015-03-02,observed,2026-07-15
EDU-000265,CH-000034,8,literacy_demo,-1.2402,2014-06-26,observed,2026-07-15
EDU-000266,CH-000034,8,numeracy_demo,,2014-06-15,missing_demo,2026-07-15
EDU-000267,CH-000034,10,literacy_demo,-1.3375,2016-07-01,observed,2026-07-15
EDU-000268,CH-000034,10,numeracy_demo,-0.857,2016-06-09,observed,2026-07-15
EDU-000269,CH-000034,12,literacy_demo,-1.7843,2018-08-27,observed,2026-07-15
EDU-000270,CH-000034,12,numeracy_demo,-1.4122,2018-06-20,observed,2026-07-15
EDU-000271,CH-000034,14,literacy_demo,-1.395,2020-08-04,observed,2026-07-15
EDU-000272,CH-000034,14,numeracy_demo,-0.8974,2020-07-11,observed,2026-07-15
EDU-000273,CH-000035,8,literacy_demo,0.5799,2016-08-04,observed,2026-07-15
EDU-000274,CH-000035,8,numeracy_demo,0.8471,2016-06-10,observed,2026-07-15
EDU-000275,CH-000035,10,literacy_demo,-0.0804,2018-07-15,observed,2026-07-15
EDU-000276,CH-000035,10,numeracy_demo,0.2359,2018-07-06,observed,2026-07-15
EDU-000277,CH-000035,12,literacy_demo,0.4795,2020-08-03,observed,2026-07-15
EDU-000278,CH-000035,12,numeracy_demo,-0.1906,2020-07-31,observed,2026-07-15
EDU-000279,CH-000035,14,literacy_demo,0.4938,2022-08-18,observed,2026-07-15
EDU-000280,CH-000035,14,numeracy_demo,0.4149,2022-08-24,observed,2026-07-15
EDU-000281,CH-000036,8,literacy_demo,-0.5743,2018-03-02,observed,2026-07-15
EDU-000282,CH-000036,8,numeracy_demo,-1.0746,2018-03-03,observed,2026-07-15
EDU-000283,CH-000036,10,literacy_demo,-1.3738,2020-05-05,observed,2026-07-15
EDU-000284,CH-000036,10,numeracy_demo,-1.2324,2020-05-03,observed,2026-07-15
EDU-000285,CH-000036,12,literacy_demo,-0.1812,2022-05-20,observed,2026-07-15
EDU-000286,CH-000036,12,numeracy_demo,-0.6958,2022-04-19,observed,2026-07-15
EDU-000287,CH-000036,14,literacy_demo,-1.3242,2024-05-03,observed,2026-07-15
EDU-000288,CH-000036,14,numeracy_demo,-1.0352,2024-05-18,observed,2026-07-15
EDU-000289,CH-000037,8,literacy_demo,-2.1143,2006-11-03,observed,2026-07-15
EDU-000290,CH-000037,8,numeracy_demo,-1.2326,2007-01-03,observed,2026-07-15
EDU-000291,CH-000037,10,literacy_demo,-2.863,2008-11-22,observed,2026-07-15
EDU-000292,CH-000037,10,numeracy_demo,-1.7921,2008-10-24,observed,2026-07-15
EDU-000293,CH-000037,12,literacy_demo,-2.2841,2010-11-12,observed,2026-07-15
EDU-000294,CH-000037,12,numeracy_demo,-1.7338,2010-11-15,observed,2026-07-15
EDU-000295,CH-000037,14,literacy_demo,-1.806,2012-11-08,observed,2026-07-15
EDU-000296,CH-000037,14,numeracy_demo,,2012-12-23,missing_demo,2026-07-15
EDU-000297,CH-000038,8,literacy_demo,-2.8114,2009-09-10,observed,2026-07-15
EDU-000298,CH-000038,8,numeracy_demo,-2.7817,2009-10-16,observed,2026-07-15
EDU-000299,CH-000038,10,literacy_demo,,2011-09-24,missing_demo,2026-07-15
EDU-000300,CH-000038,10,numeracy_demo,,2011-11-23,missing_demo,2026-07-15
EDU-000301,CH-000038,12,literacy_demo,-2.1175,2013-12-01,observed,2026-07-15
EDU-000302,CH-000038,12,numeracy_demo,-2.3909,2013-11-02,observed,2026-07-15
EDU-000303,CH-000038,14,literacy_demo,-1.8198,2015-10-04,observed,2026-07-15
EDU-000304,CH-000038,14,numeracy_demo,,2015-11-01,missing_demo,2026-07-15
EDU-000305,CH-000039,8,literacy_demo,0.3503,2015-12-10,observed,2026-07-15
EDU-000306,CH-000039,8,numeracy_demo,1.2272,2015-12-20,observed,2026-07-15
EDU-000307,CH-000039,10,literacy_demo,0.5018,2018-01-24,observed,2026-07-15
EDU-000308,CH-000039,10,numeracy_demo,1.1194,2017-12-15,observed,2026-07-15
EDU-000309,CH-000039,12,literacy_demo,1.3593,2020-02-08,observed,2026-07-15
EDU-000310,CH-000039,12,numeracy_demo,0.6604,2020-01-08,observed,2026-07-15
